Wall time,Step,Value
1606585284.591411,0,1.56577730178833
1606591673.67285,1,1.5590132474899292
1606598057.199608,2,1.556080937385559
1606604440.343071,3,1.5518678426742554
1606610827.257749,4,1.551185131072998
1606617211.791351,5,1.5486832857131958
1606623650.813355,6,1.5479339361190796
1606630279.526878,7,1.5457661151885986
1606636675.686023,8,1.5453088283538818
1606643077.55968,9,1.5459622144699097
1606649461.504597,10,1.5443756580352783
1606655849.499984,11,1.542763352394104
1606662285.951476,12,1.5434361696243286
1606668667.516406,13,1.5437169075012207
1606675054.772846,14,1.5433250665664673
1606681454.256236,15,1.542604923248291
1606687842.497125,16,1.542959451675415
1606694224.995143,17,1.5417571067810059
1606700629.926481,18,1.5418018102645874
1606707023.15035,19,1.5423996448516846
1606713493.08664,20,1.5417940616607666
1606720269.318735,21,1.5411665439605713
1606726671.307103,22,1.541608214378357
1606733049.409732,23,1.5418126583099365
1606739425.46441,24,1.5414378643035889
1606745775.52116,25,1.5435514450073242
1606753403.46324,26,1.543229341506958
1606759780.909098,27,1.5434294939041138
1606766156.894046,28,1.5416536331176758
1606772532.910331,29,1.5437320470809937
1606778909.973426,30,1.5423825979232788
1606785288.530751,31,1.5412477254867554
1606791669.931929,32,1.5409388542175293
1606798041.528393,33,1.5415472984313965
1606804414.66296,34,1.5426725149154663
1606810785.542111,35,1.5418118238449097
1606817169.681473,36,1.5425570011138916
1606823556.967568,37,1.5432692766189575
1606829938.78458,38,1.542983889579773
1606836322.162768,39,1.5420646667480469
1606842703.601452,40,1.5414981842041016
1606849061.215779,41,1.5421913862228394
1606855410.619812,42,1.541563868522644
1606861741.535285,43,1.542341947555542
1606868068.592056,44,1.5419336557388306
