Wall time,Step,Value
1604908148.101917,0,0.12726479768753052
1605202720.561307,0,0.12784336507320404
1605211486.573972,0,0.12752048671245575
1605217612.313491,1,0.12210921198129654
1605223761.458796,2,0.11828246712684631
1605229912.819866,3,0.11702092736959457
1605236055.632783,4,0.1137673407793045
1605242211.344391,5,0.11360232532024384
1605248323.29102,6,0.11290895193815231
1605254432.994141,7,0.11096111685037613
1605260532.631177,8,0.10960959643125534
1605266713.941187,9,0.1099565178155899
1605273312.886871,10,0.10974504053592682
1605279440.253097,11,0.10862395167350769
1605285559.58102,12,0.10765255242586136
1605291676.817453,13,0.10726173222064972
1605297793.385345,14,0.10953917354345322
1605303911.467062,15,0.10618012398481369
1605310027.739878,16,0.10710097849369049
1605316144.857863,17,0.10653078556060791
1605322289.407885,18,0.10872698575258255
1605328466.295958,19,0.10633101314306259
1605334586.807882,20,0.10674436390399933
1605340733.671657,21,0.10724722594022751
1605346867.895273,22,0.10632427781820297
1605353005.886438,23,0.10798478871583939
1605359138.89657,24,0.10654450207948685
1605365270.512527,25,0.1074758842587471
1605371405.226705,26,0.10690952092409134
1605377534.476996,27,0.10793313384056091
