data_name,Zeng,vConv-based network
HaibGm12878Pol24h8Pcr1xUniPk,0.7559,0.7788
HaibA549NrsfV0422111Etoh02UniPk,0.8346,0.843
HaibHepg2Rad21V0416101UniPk,0.9622,0.9714
BroadNhdfadCtcfUniPk,0.9764,0.9809
UwAg10803CtcfUniPk,0.9799,0.9821
UtaMcf7CtcfSerumstimUniPk,0.9538,0.9592
SydhK562Ccnt2UniPk,0.8277,0.8482
UwSaecCtcfUniPk,0.9809,0.984
SydhGm12878Chd1a301218aIggmusUniPk,0.7213,0.7289
SydhGm15510NfkbTnfaIggrabUniPk,0.8268,0.8321
HaibGm12891Yy1sc281V0416101UniPk,0.8979,0.9019
SydhK562Gata2UcdUniPk,0.9293,0.9352
HaibT47dEraaV0416102Bpa1hUniPk,0.8902,0.8951
SydhHepg2Hnf4aForsklnUniPk,0.9237,0.9298
HaibGm12892Pax5c20V0416101UniPk,0.8445,0.8547
HaibH1hescFosl1sc183V0416102UniPk,0.7783,0.8062
HaibGm12878Egr1Pcr2xUniPk,0.9097,0.9158
HaibPfsk1Taf1V0416101UniPk,0.8173,0.8198
SydhH1hescSuz12UcdUniPk,0.824,0.8159
HaibH1hescSp1Pcr1xUniPk,0.8557,0.8672
BroadK562Phf8a301772aUniPk,0.7922,0.8087
HaibGm12878Atf2sc81188V0422111UniPk,0.8689,0.8847
SydhK562CmycIfna6hUniPk,0.8241,0.8424
HaibPfsk1NrsfPcr2xUniPk,0.9178,0.9253
HaibA549Zbtb33V0422111Etoh02UniPk,0.806,0.8156
SydhGm12878Rfx5200401194IggmusUniPk,0.8488,0.8576
SydhHelas3Brf1UniPk,0.7953,0.8439
SydhHelas3Ap2gammaUniPk,0.8877,0.8935
SydhHepg2Mazab85725IggrabUniPk,0.848,0.8567
SydhHepg2Corestsc30189IggrabUniPk,0.7647,0.7756
UtaGlioblaCtcfUniPk,0.971,0.9762
BroadHelas3Pol2bUniPk,0.7413,0.7614
SydhMcf10aesCfosEtoh01HvdUniPk,0.9728,0.9752
SydhK562Rfx5IggrabUniPk,0.7813,0.8201
HaibGm12878Mef2aPcr1xUniPk,0.9114,0.9152
BroadDnd41Ezh239875UniPk,0.7408,0.7862
SydhHepg2Pol2ForsklnUniPk,0.8089,0.8178
UwAg09319CtcfUniPk,0.9778,0.9815
HaibK562Pmlsc71910V0422111UniPk,0.8359,0.8433
SydhK562Arid3asc8821IggrabUniPk,0.8549,0.8618
SydhGm18951Pol2IggmusUniPk,0.8053,0.8136
HaibHepg2Mybl2sc81192V0422111UniPk,0.8165,0.8244
UtaHepg2CtcfUniPk,0.9916,0.9931
SydhU2osKap1UcdUniPk,0.7574,0.7723
HaibH1hescSp2V0422111UniPk,0.8969,0.913
SydhK562Nrf1IggrabUniPk,0.9486,0.9511
SydhGm12878Brca1a300IggmusUniPk,0.9481,0.9514
UwGm12878CtcfUniPk,0.9848,0.9864
UtaGm19238CtcfUniPk,0.9524,0.9582
HaibK562CtcfcPcr1xUniPk,0.9788,0.9829
HaibA549GrPcr1xDex500pmUniPk,0.7759,0.7969
HaibHelas3Taf1Pcr1xUniPk,0.8087,0.8136
SydhGm12878Nrf1IggmusUniPk,0.9187,0.9256
HaibT47dEralphaaV0416102Est10nm1hUniPk,0.8899,0.9006
SydhK562CmycIfng30UniPk,0.8833,0.8967
SydhNt2d1Suz12UcdUniPk,0.7554,0.7789
SydhGm12878WhipIggmusUniPk,0.7432,0.7535
SydhImr90Pol2IggrabUniPk,0.803,0.8106
UtaMcf7CtcfSerumstvdUniPk,0.9555,0.9614
UwWerirb1CtcfUniPk,0.9802,0.9853
HaibEcc1Pol2V0416102Dm002p1hUniPk,0.8191,0.8271
HaibA549Usf1Pcr1xDex100nmUniPk,0.9025,0.9058
HaibHepg2Ctcfsc5916V0416101UniPk,0.9858,0.9885
SydhH1hescBrca1IggrabUniPk,0.8005,0.8688
SydhHelas3Chd2IggrabUniPk,0.8705,0.8887
SydhHepg2Pol2IggrabUniPk,0.7809,0.7855
UwHeeCtcfUniPk,0.9778,0.9813
HaibHepg2NrsfPcr2xUniPk,0.905,0.9116
SydhH1hescMafkIggrabUniPk,0.9752,0.9757
HaibK562Yy1V0416102UniPk,0.9065,0.9143
BroadK562Hdac6a301341aUniPk,0.6381,0.7002
SydhK562Ubfsc13125IggmusUniPk,0.8249,0.84
SydhK562Pol2s2UniPk,0.6721,0.6877
HaibH1hescSrfPcr1xUniPk,0.9377,0.947
SydhHek293Tcf7l2UcdUniPk,0.8509,0.8554
HaibHepg2Foxa1sc6553V0416101UniPk,0.9577,0.9604
SydhHepg2ErraForsklnUniPk,0.851,0.8832
HaibGm12878Stat5asc74442V0422111UniPk,0.8099,0.8174
HaibK562Sin3ak20V0416101UniPk,0.8175,0.8376
HaibH1hescCtcfsc5916V0416102UniPk,0.9815,0.9861
UwMcf7CtcfUniPk,0.9814,0.984
HaibH1hescUsf1Pcr1xUniPk,0.9824,0.9828
SydhGm12891NfkbTnfaIggrabUniPk,0.8882,0.8949
SydhHepg2Brca1a300IggrabUniPk,0.839,0.8535
SydhA549Rad21IggrabUniPk,0.9835,0.9853
HaibK562Cbx3sc101004V0422111UniPk,0.8111,0.8333
HaibH1hescTcf12Pcr1xUniPk,0.8774,0.8956
BroadK562Plu1UniPk,0.799,0.8119
HaibHuvecPol2Pcr1xUniPk,0.8019,0.8099
UtaHepg2Pol2UniPk,0.785,0.7956
HaibH1hescJundV0416102UniPk,0.8565,0.868
SydhHelas3Mxi1af4185IggrabUniPk,0.8491,0.8432
HaibA549GrPcr2xDex100nmUniPk,0.8902,0.8952
SydhGm12878Pol2s2IggmusUniPk,0.7577,0.7752
SydhK562Mafkab50322IggrabUniPk,0.972,0.9751
HaibHepg2Bhlhe40V0416101UniPk,0.9242,0.9392
SydhGm12878Pol3UniPk,0.9931,0.9948
SydhK562Tblr1ab24550IggrabUniPk,0.765,0.7805
HaibA549Yy1cV0422111Etoh02UniPk,0.8565,0.8751
HaibK562SrfV0416101UniPk,0.875,0.8831
UwHmecCtcfUniPk,0.9764,0.9813
HaibGm12878GabpPcr2xUniPk,0.9022,0.9097
SydhHepg2Srebp1InslnUniPk,0.8252,0.8553
SydhK562Znf274m01UcdUniPk,0.7894,0.8077
SydhHepg2Mafksc477IggrabUniPk,0.9853,0.9875
SydhHepg2Mafkab50322IggrabUniPk,0.9869,0.9897
HaibK562Nr2f2sc271940V0422111UniPk,0.8944,0.9007
SydhHek293Kap1UcdUniPk,0.7547,0.7634
SydhGm19193NfkbTnfaIggrabUniPk,0.9064,0.917
HaibSknshTaf1V0416101UniPk,0.839,0.856
SydhK562CjunIfna30UniPk,0.9331,0.9284
BroadOsteoblCtcfUniPk,0.9596,0.9655
SydhHepg2Hsf1ForsklnUniPk,0.9452,0.957
SydhNb4Pol2UniPk,0.811,0.8119
HaibHepg2GabpPcr2xUniPk,0.8927,0.8984
HaibK562Sp2sc643V0416102UniPk,0.9,0.9054
SydhGm12878Ikzf1iknuclaUniPk,0.8088,0.8201
SydhK562Atf3UniPk,0.8256,0.8833
HaibA549P300V0422111Etoh02UniPk,0.8649,0.8757
SydhHelas3Corestsc30189IggrabUniPk,0.8397,0.8542
SydhK562NelfeUniPk,0.7138,0.7418
SydhK562Hmgn3UniPk,0.8124,0.8172
SydhK562Pol2Ifna30UniPk,0.7923,0.7981
SydhK562Gtf2f1ab28179IggrabUniPk,0.7414,0.7649
HaibK562Taf7sc101167V0416101UniPk,0.7491,0.7708
BroadH1hescJarid1aab26049UniPk,0.7828,0.7938
SydhHelas3NfybIggrabUniPk,0.9215,0.9337
SydhMcf7Gata3UcdUniPk,0.7945,0.8202
HaibSknshraP300V0416102UniPk,0.882,0.8949
UchicagoK562EfosUniPk,0.9655,0.9702
UwGm12865CtcfUniPk,0.9809,0.9833
BroadK562Hdac2a300705aUniPk,0.7667,0.7874
HaibH1hescP300V0416102UniPk,0.839,0.8471
SydhHepg2Bhlhe40cIggrabUniPk,0.8951,0.8949
SydhHepg2Pgc1aForsklnUniPk,0.645,0.6791
HaibGm12878Nfatc1sc17834V0422111UniPk,0.8245,0.8359
UtaGm19239CtcfUniPk,0.9581,0.9674
UwHrpeCtcfUniPk,0.982,0.9864
SydhH1hescCtbp2UcdUniPk,0.771,0.7921
SydhGm12878CfosUniPk,0.9717,0.9721
UchicagoK562EjunbUniPk,0.9259,0.9271
HaibGm12878Rad21V0416101UniPk,0.9725,0.9766
SydhMcf7Hae2f1UcdUniPk,0.8263,0.8335
SydhH1hescCebpbIggrabUniPk,0.9792,0.9805
HaibGm12878Bcl11aPcr1xUniPk,0.9084,0.9201
SydhGm12892Pol2IggmusUniPk,0.8124,0.8194
UwA549CtcfUniPk,0.9787,0.9828
BroadK562CtcfUniPk,0.9466,0.9548
SydhHelas3Nrf1IggmusUniPk,0.9566,0.9612
SydhK562Usf2IggrabUniPk,0.9361,0.9519
UtaA549CtcfUniPk,0.9677,0.9735
SydhHelas3CjunIggrabUniPk,0.9494,0.9515
HaibPanc1Pol24h8V0416101UniPk,0.7705,0.7849
UwHbmecCtcfUniPk,0.977,0.9815
HaibGm12878Tcf3Pcr1xUniPk,0.8736,0.8803
SydhK562Pol2UniPk,0.7904,0.8187
SydhHelas3Znf274UcdUniPk,0.9934,0.9836
SydhGm19193Pol2IggmusUniPk,0.8009,0.8098
HaibK562Mef2aV0416101UniPk,0.8933,0.9059
UwHcpeCtcfUniPk,0.9776,0.9819
SydhK562Tal1sc12984IggmusUniPk,0.9509,0.9552
SydhHelas3Prdm19115IggrabUniPk,0.9188,0.9275
SydhGm18526Pol2IggmusUniPk,0.8074,0.813
SydhHelas3P300sc584sc584IggrabUniPk,0.9168,0.9186
SydhGm12878Znf143166181apUniPk,0.9645,0.9663
HaibGm12878Pmlsc71910V0422111UniPk,0.7791,0.7974
HaibH1hescTaf7sc101167V0416102UniPk,0.7987,0.8057
UtaH1hescCmycUniPk,0.6098,0.679
SydhK562Gata1UcdUniPk,0.941,0.9515
SydhImr90CebpbIggrabUniPk,0.969,0.9735
HaibH1hescYy1sc281V0416102UniPk,0.9159,0.9238
UtaH1hescCtcfUniPk,0.9774,0.9817
SydhK562CjunIfna6hUniPk,0.9462,0.9567
HaibK562NrsfV0416102UniPk,0.9118,0.9149
UwSknshraCtcfUniPk,0.9786,0.9847
HaibHelas3GabpPcr1xUniPk,0.9177,0.9242
SydhMcf7Znf217UcdUniPk,0.817,0.8301
SydhK562Znf143IggrabUniPk,0.9454,0.9485
SydhHelas3CebpbIggrabUniPk,0.9512,0.955
SydhHelas3Elk4UcdUniPk,0.8727,0.8921
SydhK562Ini1IggmusUniPk,0.6933,0.7078
BroadH1hescEzh239875UniPk,0.777,0.7933
HaibH1hescNrsfV0416102UniPk,0.9564,0.9609
HaibK562Cebpbsc150V0422111UniPk,0.9472,0.953
HaibHepg2JundPcr1xUniPk,0.9128,0.9213
SydhHepg2Smc3ab9263IggrabUniPk,0.9625,0.9657
HaibT47dFoxa1sc6553V0416102Dm002p1hUniPk,0.9445,0.9521
HaibGm12892Pol2V0416102UniPk,0.7796,0.7931
SydhMcf10aesStat3Tam112hHvdUniPk,0.9547,0.9575
HaibK562Stat5asc74442V0422111UniPk,0.9171,0.9222
UtaProgfibCtcfUniPk,0.9768,0.9803
HaibEcc1Foxa1sc6553V0416102Dm002p1hUniPk,0.9152,0.9238
HaibEcc1GrV0416102Dex100nmUniPk,0.8609,0.8877
SydhK562Stat2Ifna30UniPk,0.8381,0.8567
HaibHepg2NrsfV0416101UniPk,0.857,0.8603
BroadHmecEzh239875UniPk,0.7206,0.7305
BroadHuvecPol2bUniPk,0.7502,0.7657
UtaMcf7CtcfEstroUniPk,0.9752,0.9785
UwGm12873CtcfUniPk,0.9762,0.9806
HaibA549Pol2Pcr2xEtoh02UniPk,0.8064,0.8169
SydhHepg2TbpIggrabUniPk,0.788,0.8007
HaibPfsk1Sin3ak20V0416101UniPk,0.7991,0.8104
SydhK562CjunIfng30UniPk,0.9367,0.9448
HaibA549Taf1V0422111Etoh02UniPk,0.7696,0.7738
UwHcmCtcfUniPk,0.9709,0.9737
SydhK562CjunIfng6hUniPk,0.9373,0.9456
HaibA549Pol2Pcr2xDex100nmUniPk,0.8117,0.8226
BroadH1hescRbbp5a300109aUniPk,0.7859,0.7981
HaibGm12878Mef2csc13268V0416101UniPk,0.8987,0.9029
SydhK562Chd2ab68301IggrabUniPk,0.8747,0.8926
SydhGm10847Pol2IggmusUniPk,0.8003,0.8272
SydhGm12878Smc3ab9263IggmusUniPk,0.9601,0.9637
HaibPanc1Sin3ak20V0416101UniPk,0.7757,0.7897
SydhGm12878Stat1UniPk,0.686,0.7191
SydhHepg2Mxi1UniPk,0.8491,0.8558
SydhGm12878Bhlhe40cIggmusUniPk,0.8837,0.9004
UwGm12801CtcfUniPk,0.9867,0.9888
SydhH1hescChd2IggrabUniPk,0.8695,0.8711
SydhK562Mazab85725IggrabUniPk,0.9064,0.913
BroadK562Pol2bUniPk,0.7669,0.782
BroadNhaCtcfUniPk,0.9807,0.9829
HaibSknshraCtcfV0416102UniPk,0.9893,0.9918
HaibGm12878RxraPcr1xUniPk,0.7366,0.7816
HaibHepg2Pol24h8V0416102UniPk,0.7889,0.7969
SydhGm15510Pol2IggmusUniPk,0.8096,0.821
SydhHek293Elk4UcdUniPk,0.7813,0.8136
SydhK562Irf1Ifng6hUniPk,0.8764,0.8873
HaibHct116Pol24h8V0416101UniPk,0.8311,0.8397
UwGm12874CtcfUniPk,0.9859,0.9866
SydhGm12878P300IggmusUniPk,0.8572,0.8677
SydhHelas3Baf170IggmusUniPk,0.7302,0.7599
HaibA549GrPcr1xDex5nmUniPk,0.9138,0.9187
HaibK562Trim28sc81411V0422111UniPk,0.8284,0.8513
HaibGm12878Pou2f2Pcr1xUniPk,0.8692,0.8718
BroadHmecCtcfUniPk,0.9814,0.9868
SydhK562Znf263UcdUniPk,0.8364,0.8614
SydhK562Mxi1af4185IggrabUniPk,0.8313,0.8462
HaibGm12891Pu1Pcr1xUniPk,0.9818,0.9847
HaibH1hescTead4sc101184V0422111UniPk,0.9537,0.9589
HaibK562Fosl1sc183V0416101UniPk,0.9602,0.9666
HaibA549Creb1sc240V0416102Dex100nmUniPk,0.8844,0.8859
HaibGm12878Zeb1sc25388V0416102UniPk,0.8302,0.8568
HaibU87NrsfPcr2xUniPk,0.8508,0.854
SydhGm12878Stat3IggmusUniPk,0.7483,0.7809
SydhHelas3Stat1Ifng30UniPk,0.8479,0.8595
SydhImr90CtcfbIggrabUniPk,0.9815,0.9852
HaibHelas3Pol2Pcr1xUniPk,0.7929,0.8065
HaibEcc1EralphaaV0416102Est10nm1hUniPk,0.8735,0.8842
BroadHsmmtEzh239875UniPk,0.7379,0.7606
SydhK562Setdb1MnasedUcdUniPk,0.7352,0.7542
HaibGm12878Runx3sc101553V0422111UniPk,0.92,0.9322
UtaK562Pol2UniPk,0.8056,0.8165
SydhK562Nfe2UniPk,0.9855,0.9871
HaibSknmcPol24h8V0416101UniPk,0.841,0.8479
SydhK562Ubtfsab1404509IggmusUniPk,0.8149,0.8218
SydhHelas3Stat3IggrabUniPk,0.8884,0.8956
UtaMcf7CmycSerumstvdUniPk,0.7858,0.809
SydhHepg2Znf274UcdUniPk,0.9718,0.9843
BroadH1hescCtcfUniPk,0.9738,0.9823
HaibGm12878Pax5c20Pcr1xUniPk,0.8965,0.9072
SydhK562MaffIggrabUniPk,0.973,0.9768
UwGm06990CtcfUniPk,0.9773,0.9821
SydhMcf10aesStat3TamUniPk,0.9581,0.9611
SydhK562CfosUniPk,0.9742,0.9776
HaibK562GabpV0416101UniPk,0.91,0.9155
UwBe2cCtcfUniPk,0.9774,0.9814
HaibHepg2Tcf12Pcr1xUniPk,0.805,0.8116
HaibHepg2Fosl2V0416101UniPk,0.9268,0.93
SydhGm12878Tr4UniPk,0.7834,0.7969
SydhHepg2Grp20ForsklnUniPk,0.8407,0.866
UtaMcf7CmycVehUniPk,0.8567,0.8624
UchicagoK562Egata2UniPk,0.8397,0.853
HaibSknshSin3ak20V0416101UniPk,0.8273,0.8314
SydhHelas3Smc3ab9263IggrabUniPk,0.9501,0.9527
HaibGm12878BatfPcr1xUniPk,0.9545,0.9579
HaibA549Fosl2V0422111Etoh02UniPk,0.9486,0.9515
HaibSknshNrsfPcr2xUniPk,0.8275,0.8425
SydhShsy5yGata3sc269sc269UcdUniPk,0.8607,0.8819
UtaMcf7CtcfUniPk,0.9658,0.9707
SydhK562Tf3c110UniPk,0.9664,0.964
BroadK562Rbbp5a300109aUniPk,0.7847,0.7943
SydhHelas3Rfx5200401194IggrabUniPk,0.882,0.8947
SydhHct116Pol2UcdUniPk,0.7923,0.812
SydhGm12878NfyaIggmusUniPk,0.9143,0.9178
SydhImr90MafkIggrabUniPk,0.9764,0.9797
SydhGm12878P300bUniPk,0.9062,0.9197
HaibGm12878Tcf12Pcr1xUniPk,0.889,0.8999
UtaMcf7Pol2UniPk,0.8038,0.8197
SydhGm10847NfkbTnfaIggrabUniPk,0.8659,0.8736
UwHelas3CtcfUniPk,0.9886,0.9903
UwK562CtcfUniPk,0.9822,0.9852
SydhK562Brf2UniPk,0.6188,0.6974
SydhHelas3NfyaIggrabUniPk,0.8964,0.9054
SydhK562E2f4UcdUniPk,0.8694,0.8676
UwAg04449CtcfUniPk,0.9751,0.9825
SydhHelas3Ap2alphaUniPk,0.8917,0.9021
HaibH1hescRad21V0416102UniPk,0.9678,0.9756
HaibA549Tcf12V0422111Etoh02UniPk,0.8524,0.859
SydhH1hescGtf2f1IggrabUniPk,0.7561,0.7896
SydhHuvecMaxUniPk,0.9217,0.9252
HaibU87Pol24h8V0416101UniPk,0.8105,0.8159
BroadGm12878Ezh239875UniPk,0.7142,0.7249
HaibHepg2Yy1sc281V0416101UniPk,0.8794,0.8842
SydhGm12878Sin3anb6001263IggmusUniPk,0.7719,0.7921
HaibA549Ctcfsc5916Pcr1xEtoh02UniPk,0.9882,0.99
SydhHelas3Tcf7l2c9b92565UcdUniPk,0.8342,0.8374
SydhHepg2Tr4UcdUniPk,0.8411,0.8504
HaibGm12878Cebpbsc150V0422111UniPk,0.8222,0.8506
SydhHelas3Usf2IggmusUniPk,0.9267,0.929
SydhShsy5yGata2UcdUniPk,0.9063,0.9147
SydhK562Corestab24166IggrabUniPk,0.839,0.8485
UwHl60CtcfUniPk,0.9922,0.9931
HaibGm12878Taf1Pcr1xUniPk,0.822,0.8315
HaibGm12891Taf1Pcr1xUniPk,0.8111,0.8121
SydhHelas3JundIggrabUniPk,0.9605,0.9632
HaibGm12878Irf4sc6059Pcr1xUniPk,0.9125,0.9192
HaibH1hescAtf3V0416102UniPk,0.9299,0.9372
SydhGm12878Rad21IggrabUniPk,0.973,0.9745
BroadHepg2Ezh239875UniPk,0.7463,0.7533
HaibHelas3NrsfPcr1xUniPk,0.9578,0.9595
HaibK562Sp1Pcr1xUniPk,0.8672,0.875
HaibSknshraUsf1sc8983V0416102UniPk,0.9662,0.9717
HaibH1hescGabpPcr1xUniPk,0.8902,0.9016
UwHffmycCtcfUniPk,0.9731,0.9769
UwNb4CtcfUniPk,0.9877,0.9891
SydhGm18505Pol2IggmusUniPk,0.7953,0.8092
SydhHepg2Tcf7l2UcdUniPk,0.7934,0.8216
SydhMcf10aesCfosTam14hHvdUniPk,0.9654,0.9712
UwHreCtcfUniPk,0.9834,0.9864
UtaMcf7Pol2SerumstvdUniPk,0.8223,0.8346
BroadK562Chd1a301218aUniPk,0.7337,0.751
SydhMcf10aesCfosTam112hHvdUniPk,0.9668,0.9734
SydhRajiPol2UcdUniPk,0.7804,0.7941
SydhK562Pol2Ifng30UniPk,0.7938,0.8123
SydhGm12878Chd2ab68301IggmusUniPk,0.8161,0.8384
SydhImr90Rad21IggrabUniPk,0.9685,0.971
SydhK562Elk112771IggrabUniPk,0.8689,0.8875
SydhHepg2Maffm8194IggrabUniPk,0.9846,0.986
HaibEcc1EralphaaV0416102Gen1hUniPk,0.8668,0.8744
SydhK562Brg1IggmusUniPk,0.7589,0.7833
UwCaco2CtcfUniPk,0.9835,0.9855
HaibGm12878Atf3Pcr1xUniPk,0.8712,0.8868
SydhGm19099Pol2IggmusUniPk,0.7952,0.8076
UwHepg2CtcfUniPk,0.9826,0.9858
SydhGm12878Ebf1sc137065UniPk,0.9263,0.9332
SydhGm12878Pol2UniPk,0.7708,0.7935
SydhH1hescRad21IggrabUniPk,0.9764,0.9818
BroadHsmmCtcfUniPk,0.9793,0.9821
HaibHepg2Taf1Pcr2xUniPk,0.8196,0.8342
HaibK562Taf1V0416101UniPk,0.8306,0.841
HaibH1hescSix5Pcr1xUniPk,0.9086,0.9115
SydhHelas3Gtf2f1ab28179IggrabUniPk,0.7931,0.8154
UwHuvecCtcfUniPk,0.9841,0.9866
HaibSknshraYy1sc281V0416102UniPk,0.8908,0.8931
HaibGm12892Taf1V0416102UniPk,0.8173,0.8318
HaibK562Atf3V0416101UniPk,0.9418,0.9411
UwHcfaaCtcfUniPk,0.9831,0.9864
SydhGm12878Mxi1IggmusUniPk,0.8206,0.82
UtaProgfibPol2UniPk,0.8091,0.8226
HaibHepg2Foxa2sc6554V0416101UniPk,0.9574,0.9614
HaibHepg2Cebpbsc150V0416101UniPk,0.9748,0.9765
SydhH1hescMxi1IggrabUniPk,0.8275,0.8428
SydhHelas3Hae2f1UniPk,0.8601,0.8742
HaibGm12878Usf1Pcr2xUniPk,0.9466,0.9476
SydhGm12878Nfe2sc22827UniPk,0.9396,0.9484
UwHmfCtcfUniPk,0.9827,0.986
SydhHelas3Pol2UniPk,0.804,0.812
SydhK562Pol2s2IggrabUniPk,0.7081,0.717
SydhK562CebpbIggrabUniPk,0.9754,0.9771
HaibPfsk1Foxp2Pcr2xUniPk,0.8692,0.8785
SydhK562Irf1Ifna6hUniPk,0.8607,0.8649
SydhGm12878Corestsc30189IggmusUniPk,0.7783,0.7822
SydhGm12891Pol2IggmusUniPk,0.7712,0.7757
UchicagoK562Ehdac8UniPk,0.6982,0.7096
SydhK562Yy1UcdUniPk,0.9482,0.957
HaibGm12891Pou2f2Pcr1xUniPk,0.8389,0.8446
