,2 motifs,4 motifs,6 motifs,8 motifs,TwoDiffMotif1,TwoDiffMotif2,TwoDiffMotif3
p-value,0.112,0.047,0.793,0.947,0.0,0.0,0.0
Std. for networks with MSL,0.0491896107582616,0.05266151670137513,0.0744269539818238,0.07764233485605958,0.050556665440430255,0.054312860719529,0.06307191265741012
Std. for networks without MSL,0.04998258103178346,0.055881667656803594,0.07348120731209055,0.07603377506182202,0.06817149666067832,0.06337153263008502,0.07228406489615963
