,2 motifs,4 motifs,6 motifs,8 motifs,TwoDiffMotif1,TwoDiffMotif2,TwoDiffMotif3
p-value,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Std. for convolution-based networks,0.10735374557195702,0.09716703663860013,0.11107691499698055,0.09630386611796646,0.13211663883589464,0.11706186454595492,0.14866200743348704
Std. for vConv basednetworks,0.0491896107582616,0.05266151670137513,0.0744269539818238,0.07764233485605958,0.050556665440430255,0.054312860719529,0.06307191265741012
