Cell Line,Factor,Lab,Treatment,Antibody,Data Version,Quality,Table Name,Control
HMEC,EZH2,Broad,None,EZH2+AF8-(39875),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadHmecEzh239875UniPk,std
HSMMtube,EZH2,Broad,None,EZH2+AF8-(39875),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadHsmmtEzh239875UniPk,std
HUVEC,EZH2,Broad,None,EZH2+AF8-(39875),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadHuvecEzh239875UniPk,std
NH+AC0-A,EZH2,Broad,None,EZH2+AF8-(39875),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadNhaEzh239875UniPk,std
NHDF+AC0-Ad,EZH2,Broad,None,EZH2+AF8-(39875),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadNhdfadEzh239875UniPk,std
NHEK,EZH2,Broad,None,EZH2+AF8-(39875),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadNhekEzh239875UniPk,std
NHLF,EZH2,Broad,None,EZH2+AF8-(39875),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadNhlfEzh239875UniPk,std
HeLa+AC0-S3,FAM48A,Stanford,None,SPT20,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3Spt20UniPk,std
HeLa+AC0-S3,FOS,Yale,None,c+AC0-Fos,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3CfosUniPk,std
HUVEC,FOS,USC,None,c+AC0-Fos,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHuvecCfosUcdUniPk,UCDavis
K562,FOS,Yale,None,c+AC0-Fos,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562CfosUniPk,std
K562,FOS,UChicago,None,eGFP+AC0-FOS,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUchicagoK562EfosUniPk,Control+AF8-eGFP+AC0-FOS
H1+AC0-hESC,FOSL1,HudsonAlpha,None,FOSL1+AF8-(SC+AC0-183),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibH1hescFosl1sc183V0416102UniPk,NA
K562,FOSL1,HudsonAlpha,None,FOSL1+AF8-(SC+AC0-183),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibK562Fosl1sc183V0416101UniPk,NA
HepG2,FOSL2,HudsonAlpha,None,FOSL2,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibHepg2Fosl2V0416101UniPk,NA
HepG2,FOXA1,HudsonAlpha,None,FOXA1+AF8-(SC+AC0-6553),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibHepg2Foxa1sc6553V0416101UniPk,NA
HepG2,FOXA1,HudsonAlpha,None,FOXA1+AF8-(SC+AC0-101058),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibHepg2Foxa1sc101058V0416101UniPk,NA
HepG2,FOXA2,HudsonAlpha,None,FOXA2+AF8-(SC+AC0-6554),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibHepg2Foxa2sc6554V0416101UniPk,NA
GM12878,FOXM1,HudsonAlpha,None,FOXM1+AF8-(SC+AC0-502),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878Foxm1sc502V0422111UniPk,NA
PFSK+AC0-1,FOXP2,HudsonAlpha,None,FOXP2,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibPfsk1Foxp2Pcr2xUniPk,NA
SK+AC0-N+AC0-MC,FOXP2,HudsonAlpha,None,FOXP2,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibSknmcFoxp2Pcr2xUniPk,NA
GM12878,GABPA,HudsonAlpha,None,GABP,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878GabpPcr2xUniPk,NA
H1+AC0-hESC,GABPA,HudsonAlpha,None,GABP,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibH1hescGabpPcr1xUniPk,NA
HeLa+AC0-S3,GABPA,HudsonAlpha,None,GABP,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibHelas3GabpPcr1xUniPk,NA
HepG2,GABPA,HudsonAlpha,None,GABP,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibHepg2GabpPcr2xUniPk,NA
K562,GABPA,HudsonAlpha,None,GABP,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibK562GabpV0416101UniPk,NA
K562,GATA1,USC,None,GATA+AC0-1,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562Gata1UcdUniPk,UCDavis
PBDE,GATA1,USC,None,GATA+AC0-1,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhPbdeGata1UcdUniPk,UCDavis
HUVEC,GATA2,USC,None,GATA+AC0-2,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHuvecGata2UcdUniPk,UCDavis
K562,GATA2,UChicago,None,eGFP+AC0-GATA2,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUchicagoK562Egata2UniPk,Control+AF8-eGFP+AC0-GATA2
K562,GATA2,HudsonAlpha,None,GATA2+AF8-(SC+AC0-267),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibK562Gata2sc267Pcr1xUniPk,NA
K562,GATA2,USC,None,GATA+AC0-2,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562Gata2UcdUniPk,UCDavis
SH+AC0-SY5Y,GATA2,USC,None,GATA+AC0-2,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhShsy5yGata2UcdUniPk,UCDavis
MCF+AC0-7,GATA3,USC,None,GATA3+AF8-(SC+AC0-268),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhMcf7Gata3UcdUniPk,UCDavis
MCF+AC0-7,GATA3,USC,None,GATA3+AF8-(SC+AC0-269),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhMcf7Gata3sc269UcdUniPk,UCDavis
SH+AC0-SY5Y,GATA3,USC,None,GATA3+AF8-(SC+AC0-269),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhShsy5yGata3sc269sc269UcdUniPk,UCDavis
K562,GTF2B,Harvard,None,GTF2B,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562Gtf2bUniPk,std
H1+AC0-hESC,GTF2F1,Stanford,None,GTF2F1+AF8-(AB28179),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhH1hescGtf2f1IggrabUniPk,IgG+AC0-rab
HeLa+AC0-S3,GTF2F1,Stanford,None,GTF2F1+AF8-(AB28179),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3Gtf2f1ab28179IggrabUniPk,IgG+AC0-rab
K562,HDAC1,Broad,None,HDAC1+AF8-(SC+AC0-6298),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadK562Hdac1sc6298UniPk,std
H1+AC0-hESC,HDAC2,HudsonAlpha,None,HDAC2+AF8-(SC+AC0-6296),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibH1hescHdac2sc6296V0416102UniPk,NA
HepG2,HDAC2,HudsonAlpha,None,HDAC2+AF8-(SC+AC0-6296),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibHepg2Hdac2sc6296V0416101UniPk,NA
K562,HDAC2,HudsonAlpha,None,HDAC2+AF8-(SC+AC0-6296),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibK562Hdac2sc6296V0416102UniPk,NA
K562,HDAC2,Broad,None,HDAC2+AF8-(A300+AC0-705A),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadK562Hdac2a300705aUniPk,std
K562,HDAC6,Broad,None,HDAC6+AF8-(A301+AC0-341A),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadK562Hdac6a301341aUniPk,std
K562,HMGN3,Harvard,None,HMGN3,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562Hmgn3UniPk,std
HepG2,HNF4A,HudsonAlpha,None,HNF4A+AF8-(SC+AC0-8987),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibHepg2Hnf4asc8987V0416101UniPk,NA
HepG2,HNF4G,HudsonAlpha,None,HNF4G+AF8-(SC+AC0-6558),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibHepg2Hnf4gsc6558V0416101UniPk,NA
GM12878,IKZF1,USC,None,IKZF1+AF8-(IkN)+AF8-(UCLA),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm12878Ikzf1iknuclaUniPk,std
HeLa+AC0-S3,IRF3,Stanford,None,IRF3,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3Irf3IggrabUniPk,IgG+AC0-rab
GM12878,IRF4,HudsonAlpha,None,IRF4+AF8-(SC+AC0-6059),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878Irf4sc6059Pcr1xUniPk,NA
H1+AC0-hESC,JUN,Stanford,None,c+AC0-Jun,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhH1hescCjunIggrabUniPk,IgG+AC0-rab
HeLa+AC0-S3,JUN,Stanford,None,c+AC0-Jun,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3CjunIggrabUniPk,IgG+AC0-rab
HepG2,JUN,Stanford,None,c+AC0-Jun,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHepg2CjunIggrabUniPk,IgG+AC0-rab
HUVEC,JUN,Stanford,None,c+AC0-Jun,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHuvecCjunUniPk,std
K562,JUN,Yale,None,c+AC0-Jun,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562CjunUniPk,std
K562,JUNB,UChicago,None,eGFP+AC0-JunB,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUchicagoK562EjunbUniPk,Control+AF8-eGFP+AC0-JunB
H1+AC0-hESC,JUND,HudsonAlpha,None,JunD,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibH1hescJundV0416102UniPk,NA
H1+AC0-hESC,JUND,Stanford,None,JunD,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhH1hescJundIggrabUniPk,IgG+AC0-rab
HeLa+AC0-S3,JUND,Stanford,None,JunD,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3JundIggrabUniPk,IgG+AC0-rab
HepG2,JUND,Stanford,None,JunD,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHepg2JundIggrabUniPk,IgG+AC0-rab
HepG2,JUND,HudsonAlpha,None,JunD,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibHepg2JundPcr1xUniPk,NA
K562,JUND,UChicago,None,eGFP+AC0-JunD,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUchicagoK562EjundUniPk,Control+AF8-eGFP+AC0-JunD
K562,JUND,Stanford,None,JunD,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562JundIggrabUniPk,IgG+AC0-rab
HEK293,KAP1,USC,None,KAP1,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHek293Kap1UcdUniPk,UCDavis
K562,KAP1,USC,None,KAP1,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562Kap1UcdUniPk,UCDavis
U2OS,KAP1,USC,None,KAP1,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhU2osKap1UcdUniPk,UCDavis
H1+AC0-hESC,KDM5A,Broad,None,JARID1A+AF8-(ab26049),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadH1hescJarid1aab26049UniPk,std
K562,KDM5B,Broad,None,PLU1,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadK562Plu1UniPk,std
HepG2,MAFF,Stanford,None,MafF+AF8-(M8194),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHepg2Maffm8194IggrabUniPk,IgG+AC0-rab
K562,MAFF,Stanford,None,MafF+AF8-(M8194),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562MaffIggrabUniPk,IgG+AC0-rab
H1+AC0-hESC,MAFK,Stanford,None,MafK+AF8-(ab50322),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhH1hescMafkIggrabUniPk,IgG+AC0-rab
HeLa+AC0-S3,MAFK,Stanford,None,MafK+AF8-(ab50322),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3MafkIggrabUniPk,IgG+AC0-rab
HepG2,MAFK,Stanford,None,MafK+AF8-(SC+AC0-477),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHepg2Mafksc477IggrabUniPk,IgG+AC0-rab
HepG2,MAFK,Stanford,None,MafK+AF8-(ab50322),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHepg2Mafkab50322IggrabUniPk,IgG+AC0-rab
IMR90,MAFK,Stanford,None,MafK+AF8-(ab50322),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhImr90MafkIggrabUniPk,IgG+AC0-rab
K562,MAFK,Stanford,None,MafK+AF8-(ab50322),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562Mafkab50322IggrabUniPk,IgG+AC0-rab
A549,MAX,Stanford,None,Max,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhA549MaxIggrabUniPk,IgG+AC0-rab
GM12878,MAX,Stanford,None,Max,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm12878MaxIggmusUniPk,IgG+AC0-mus
H1+AC0-hESC,MAX,USC,None,Max,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhH1hescMaxUcdUniPk,UCDavis
HeLa+AC0-S3,MAX,Stanford,None,Max,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3MaxIggrabUniPk,IgG+AC0-rab
HepG2,MAX,Stanford,None,Max,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHepg2MaxIggrabUniPk,IgG+AC0-rab
HUVEC,MAX,Stanford,None,Max,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHuvecMaxUniPk,std
K562,MAX,Stanford,None,Max,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562MaxIggrabUniPk,IgG+AC0-rab
K562,MAX,HudsonAlpha,None,Max,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibK562MaxV0416102UniPk,NA
NB4,MAX,Stanford,None,Max,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhNb4MaxUniPk,std
GM12878,MAZ,Stanford,None,MAZ+AF8-(ab85725),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm12878Mazab85725IggmusUniPk,IgG+AC0-mus
HeLa+AC0-S3,MAZ,Stanford,None,MAZ+AF8-(ab85725),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3Mazab85725IggrabUniPk,IgG+AC0-rab
HepG2,MAZ,Stanford,None,MAZ+AF8-(ab85725),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHepg2Mazab85725IggrabUniPk,IgG+AC0-rab
K562,MAZ,Stanford,None,MAZ+AF8-(ab85725),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562Mazab85725IggrabUniPk,IgG+AC0-rab
GM12878,MEF2A,HudsonAlpha,None,MEF2A,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878Mef2aPcr1xUniPk,NA
K562,MEF2A,HudsonAlpha,None,MEF2A,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibK562Mef2aV0416101UniPk,NA
GM12878,MEF2C,HudsonAlpha,None,MEF2C+AF8-(SC+AC0-13268),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878Mef2csc13268V0416101UniPk,NA
GM12878,MTA3,HudsonAlpha,None,MTA3+AF8-(SC+AC0-81325),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878Mta3sc81325V0422111UniPk,NA
GM12878,MXI1,Stanford,None,Mxi1+AF8-(AF4185),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm12878Mxi1IggmusUniPk,IgG+AC0-mus
H1+AC0-hESC,MXI1,Stanford,None,Mxi1+AF8-(AF4185),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhH1hescMxi1IggrabUniPk,IgG+AC0-rab
HeLa+AC0-S3,MXI1,Stanford,None,Mxi1+AF8-(AF4185),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3Mxi1af4185IggrabUniPk,IgG+AC0-rab
HepG2,MXI1,Stanford,None,Mxi1+AF8-(AF4185),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHepg2Mxi1UniPk,std
K562,MXI1,Stanford,None,Mxi1+AF8-(AF4185),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562Mxi1af4185IggrabUniPk,IgG+AC0-rab
HepG2,MYBL2,HudsonAlpha,None,MYBL2+AF8-(SC+AC0-81192),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibHepg2Mybl2sc81192V0422111UniPk,NA
H1+AC0-hESC,MYC,Stanford,None,c+AC0-Myc,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhH1hescCmycIggrabUniPk,IgG+AC0-rab
HeLa+AC0-S3,MYC,UT+AC0-A,None,c+AC0-Myc,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaHelas3CmycUniPk,NA
HeLa+AC0-S3,MYC,Yale,None,c+AC0-Myc,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3CmycUniPk,std
HUVEC,MYC,UT+AC0-A,None,c+AC0-Myc,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaHuvecCmycUniPk,NA
K562,MYC,Stanford,None,c+AC0-Myc,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562CmycIggrabUniPk,IgG+AC0-rab
K562,MYC,UT+AC0-A,None,c+AC0-Myc,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaK562CmycUniPk,NA
NB4,MYC,Stanford,None,c+AC0-Myc,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhNb4CmycUniPk,std
H1+AC0-hESC,NANOG,HudsonAlpha,None,NANOG+AF8-(SC+AC0-33759),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibH1hescNanogsc33759V0416102UniPk,NA
GM12878,NFATC1,HudsonAlpha,None,NFATC1+AF8-(SC+AC0-17834),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878Nfatc1sc17834V0422111UniPk,NA
K562,NFE2,Yale,None,NF+AC0-E2,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562Nfe2UniPk,std
GM12878,NFIC,HudsonAlpha,None,NFIC+AF8-(SC+AC0-81335),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878Nficsc81335V0422111UniPk,NA
HepG2,NFIC,HudsonAlpha,None,NFIC+AF8-(SC+AC0-81335),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibHepg2Nficsc81335V0422111UniPk,NA
GM12878,NFYA,Harvard,None,NF+AC0-YA,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm12878NfyaIggmusUniPk,IgG+AC0-mus
HeLa+AC0-S3,NFYA,Harvard,None,NF+AC0-YA,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3NfyaIggrabUniPk,IgG+AC0-rab
K562,NFYA,Stanford,None,NF+AC0-YA,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562NfyaUniPk,std
GM12878,NFYB,Harvard,None,NF+AC0-YB,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm12878NfybIggmusUniPk,IgG+AC0-mus
HeLa+AC0-S3,NFYB,Harvard,None,NF+AC0-YB,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3NfybIggrabUniPk,IgG+AC0-rab
K562,NFYB,Stanford,None,NF+AC0-YB,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562NfybUniPk,std
GM12878,NR2C2,USC,None,TR4,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm12878Tr4UniPk,std
HeLa+AC0-S3,NR2C2,USC,None,TR4,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3Tr4UniPk,std
HepG2,NR2C2,USC,None,TR4,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHepg2Tr4UcdUniPk,UCDavis
K562,NR2F2,HudsonAlpha,None,NR2F2+AF8-(SC+AC0-271940),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibK562Nr2f2sc271940V0422111UniPk,NA
GM12878,NRF1,Stanford,None,Nrf1,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm12878Nrf1IggmusUniPk,IgG+AC0-mus
H1+AC0-hESC,NRF1,Stanford,None,Nrf1,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhH1hescNrf1IggrabUniPk,IgG+AC0-rab
HeLa+AC0-S3,NRF1,Stanford,None,Nrf1,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3Nrf1IggmusUniPk,IgG+AC0-mus
K562,NRF1,Stanford,None,Nrf1,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562Nrf1IggrabUniPk,IgG+AC0-rab
GM12878,PAX5,HudsonAlpha,None,PAX5+AC0-C20,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878Pax5c20Pcr1xUniPk,NA
GM12878,PAX5,HudsonAlpha,None,PAX5+AC0-N19,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878Pax5n19Pcr1xUniPk,NA
GM12891,PAX5,HudsonAlpha,None,PAX5+AC0-C20,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12891Pax5c20V0416101UniPk,NA
GM12892,PAX5,HudsonAlpha,None,PAX5+AC0-C20,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12892Pax5c20V0416101UniPk,NA
GM12878,PBX3,HudsonAlpha,None,Pbx3,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878Pbx3Pcr1xUniPk,NA
K562,PHF8,Broad,None,PHF8+AF8-(A301+AC0-772A),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadK562Phf8a301772aUniPk,std
GM12878,PML,HudsonAlpha,None,PML+AF8-(SC+AC0-71910),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878Pmlsc71910V0422111UniPk,NA
K562,PML,HudsonAlpha,None,PML+AF8-(SC+AC0-71910),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibK562Pmlsc71910V0422111UniPk,NA
A549,POLR2A,Stanford,None,Pol2(phosphoS2),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhA549Pol2s2IggrabUniPk,IgG+AC0-rab
A549,POLR2A,UT+AC0-A,None,Pol2,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaA549Pol2UniPk,NA
Gliobla,POLR2A,UT+AC0-A,None,Pol2,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaGlioblaPol2UniPk,NA
GM12878,POLR2A,UT+AC0-A,None,Pol2,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaGm12878Pol2UniPk,NA
GM12878,POLR2A,Stanford,None,Pol2,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm12878Pol2IggmusUniPk,IgG+AC0-mus
GM12878,POLR2A,Stanford,None,Pol2(phosphoS2),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm12878Pol2s2IggmusUniPk,IgG+AC0-mus
GM12878,POLR2A,HudsonAlpha,None,Pol2+AC0-4H8,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878Pol24h8Pcr1xUniPk,NA
GM12878,POLR2A,HudsonAlpha,None,Pol2,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878Pol2Pcr2xUniPk,NA
GM12891,POLR2A,Stanford,None,Pol2,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm12891Pol2IggmusUniPk,IgG+AC0-mus
GM12891,POLR2A,HudsonAlpha,None,Pol2+AC0-4H8,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12891Pol24h8Pcr1xUniPk,NA
GM12891,POLR2A,HudsonAlpha,None,Pol2,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12891Pol2Pcr1xUniPk,NA
GM12892,POLR2A,Stanford,None,Pol2,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm12892Pol2IggmusUniPk,IgG+AC0-mus
GM12892,POLR2A,HudsonAlpha,None,Pol2+AC0-4H8,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12892Pol24h8V0416102UniPk,NA
GM12892,POLR2A,HudsonAlpha,None,Pol2,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12892Pol2V0416102UniPk,NA
GM15510,POLR2A,Stanford,None,Pol2,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm15510Pol2IggmusUniPk,IgG+AC0-mus
GM18505,POLR2A,Stanford,None,Pol2,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm18505Pol2IggmusUniPk,IgG+AC0-mus
GM18526,POLR2A,Stanford,None,Pol2,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm18526Pol2IggmusUniPk,IgG+AC0-mus
GM18951,POLR2A,Stanford,None,Pol2,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm18951Pol2IggmusUniPk,IgG+AC0-mus
GM19099,POLR2A,Stanford,None,Pol2,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm19099Pol2IggmusUniPk,IgG+AC0-mus
GM19193,POLR2A,Stanford,None,Pol2,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm19193Pol2IggmusUniPk,IgG+AC0-mus
H1+AC0-hESC,POLR2A,HudsonAlpha,None,Pol2+AC0-4H8,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibH1hescPol24h8V0416102UniPk,NA
H1+AC0-hESC,POLR2A,UT+AC0-A,None,Pol2,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaH1hescPol2UniPk,NA
H1+AC0-hESC,POLR2A,HudsonAlpha,None,Pol2,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibH1hescPol2V0416102UniPk,NA
