Cell Line,Factor,Lab,Treatment,Antibody,Data Version,Quality,Table Name,Control
IMR90,CEBPB,Stanford,None,CEBPB,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhImr90CebpbIggrabUniPk,IgG+AC0-rab
K562,CEBPB,Stanford,None,CEBPB,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562CebpbIggrabUniPk,IgG+AC0-rab
K562,CEBPB,HudsonAlpha,None,CEBPB+AF8-(SC+AC0-150),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibK562Cebpbsc150V0422111UniPk,NA
HepG2,CEBPD,HudsonAlpha,None,CEBPD+AF8-(SC+AC0-636),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibHepg2Cebpdsc636V0416101UniPk,NA
GM12878,CHD1,Stanford,None,CHD1+AF8-(A301+AC0-218A),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm12878Chd1a301218aIggmusUniPk,IgG+AC0-mus
H1+AC0-hESC,CHD1,Broad,None,CHD1+AF8-(A301+AC0-218A),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadH1hescChd1a301218aUniPk,std
K562,CHD1,Broad,None,CHD1+AF8-(A301+AC0-218A),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadK562Chd1a301218aUniPk,std
GM12878,CHD2,Stanford,None,CHD2+AF8-(AB68301),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm12878Chd2ab68301IggmusUniPk,IgG+AC0-mus
H1+AC0-hESC,CHD2,Stanford,None,CHD2+AF8-(AB68301),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhH1hescChd2IggrabUniPk,IgG+AC0-rab
HeLa+AC0-S3,CHD2,Stanford,None,CHD2+AF8-(AB68301),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3Chd2IggrabUniPk,IgG+AC0-rab
HepG2,CHD2,Stanford,None,CHD2+AF8-(AB68301),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHepg2Chd2ab68301IggrabUniPk,IgG+AC0-rab
K562,CHD2,Stanford,None,CHD2+AF8-(AB68301),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562Chd2ab68301IggrabUniPk,IgG+AC0-rab
H1+AC0-hESC,CTBP2,USC,None,CtBP2,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhH1hescCtbp2UcdUniPk,UCDavis
A549,CTCF,UT+AC0-A,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaA549CtcfUniPk,NA
A549,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwA549CtcfUniPk,std
AG04449,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwAg04449CtcfUniPk,std
AG04450,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwAg04450CtcfUniPk,std
AG09309,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwAg09309CtcfUniPk,std
AG09319,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwAg09319CtcfUniPk,std
AG10803,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwAg10803CtcfUniPk,std
AoAF,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwAoafCtcfUniPk,std
BE(2)+AC0-C,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwBe2cCtcfUniPk,std
BJ,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwBjCtcfUniPk,std
Caco+AC0-2,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwCaco2CtcfUniPk,std
Dnd41,CTCF,Broad,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadDnd41CtcfUniPk,std
Fibrobl,CTCF,UT+AC0-A,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaFibroblCtcfUniPk,NA
