TF.CellLine.Antibody.Lab.renamed,Cell Line,Factor,Lab,Treatment,Antibody,Data Version,Quality,Table Name,Control,TF.CellLine.Antibody.Lab,DeepBind.star,DeepBind,MEME.SUM,MEME.M1
CTCF_HCT_116_CTCF_UW,HCT+AC0-116,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHct116CtcfUniPk,std,CTCF_HCT-116_CTCF_UW,0.996823,0.995395,0.965724,0.968144
CTCF_HEEpiC_CTCF_UW,HEEpiC,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHeeCtcfUniPk,std,CTCF_HEEpiC_CTCF_UW,0.997227,0.99811,0.948172,0.975808
CTCF_HEK293_CTCF_UW,HEK293,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHek293CtcfUniPk,std,CTCF_HEK293_CTCF_UW,0.997782,0.996821,0.9545,0.958496
CTCF_HFF_CTCF_UW,HFF,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHffCtcfUniPk,std,CTCF_HFF_CTCF_UW,0.99626,0.991288,0.943632,0.964876
CTCF_HFF_Myc_CTCF_UW,HFF+AC0-Myc,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHffmycCtcfUniPk,std,CTCF_HFF-Myc_CTCF_UW,0.997257,0.994997,0.955608,0.958548
CTCF_HMEC_CTCF_Broad,HMEC,CTCF,Broad,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadHmecCtcfUniPk,std,CTCF_HMEC_CTCF_Broad,0.99568,0.997074,0.9581,0.970664
CTCF_HMEC_CTCF_UW,HMEC,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHmecCtcfUniPk,std,CTCF_HMEC_CTCF_UW,0.995859,0.993239,0.964552,0.96558
CTCF_HMF_CTCF_UW,HMF,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHmfCtcfUniPk,std,CTCF_HMF_CTCF_UW,0.998715,0.995098,0.935852,0.985884
CTCF_HPAF_CTCF_UW,HPAF,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHpafCtcfUniPk,std,CTCF_HPAF_CTCF_UW,0.99871,0.995863,0.977096,0.972988
CTCF_HPF_CTCF_UW,HPF,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHpfCtcfUniPk,std,CTCF_HPF_CTCF_UW,0.996643,0.997512,0.930184,0.966484
CTCF_HRE_CTCF_UW,HRE,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHreCtcfUniPk,std,CTCF_HRE_CTCF_UW,0.997211,0.99223,0.932508,0.97744
