Wall time,Step,Value
1607583311.552146,0,0.6964975595474243
1607583312.160539,1,0.6855369210243225
1607583312.791674,2,0.6837387084960938
1607583313.677118,3,0.6574484705924988
1607583314.328001,4,0.6339350938796997
1607583314.958769,5,0.6056878566741943
1607583315.572295,6,0.5832918882369995
1607583316.207875,7,0.5640147924423218
1607583316.83382,8,0.5480216145515442
1607583317.45544,9,0.5389666557312012
1607583318.07837,10,0.5295192003250122
1607583318.673015,11,0.5339149236679077
1607583319.300702,12,0.5139967203140259
1607583319.950136,13,0.4974592924118042
1607583320.567302,14,0.4827257990837097
1607583321.186061,15,0.465475857257843
1607583321.808055,16,0.448567271232605
1607583322.429132,17,0.43063846230506897
1607583323.052414,18,0.4154137670993805
1607583323.673558,19,0.395997554063797
1607583324.312276,20,0.3869937062263489
1607583324.930622,21,0.3735196590423584
1607583325.557495,22,0.35377857089042664
1607583326.274433,23,0.3440563976764679
1607583326.897503,24,0.3356086313724518
1607583327.565884,25,0.32560086250305176
1607583328.194733,26,0.3178803026676178
1607583328.805113,27,0.31505104899406433
1607583329.495783,28,0.31216734647750854
1607583330.160552,29,0.3116057813167572
1607583330.782966,30,0.298645943403244
1607583331.398464,31,0.2949586808681488
1607583332.042863,32,0.2934902608394623
1607583332.670166,33,0.2925819456577301
1607583333.261415,34,0.30208805203437805
1607583333.949499,35,0.30361616611480713
1607583334.588733,36,0.2891739308834076
1607583335.184297,37,0.2978002429008484
1607583335.7789,38,0.3130839467048645
1607583336.402218,39,0.2861607074737549
1607583337.002941,40,0.3113398849964142
1607583337.636378,41,0.2820832133293152
1607583338.226445,42,0.2915728688240051
1607583338.841886,43,0.28177449107170105
1607583339.437805,44,0.28392913937568665
1607583340.119726,45,0.286761999130249
1607583340.733768,46,0.2838011384010315
1607583341.323907,47,0.2848456799983978
1607583341.913753,48,0.2903268337249756
1607583342.507451,49,0.2848236560821533
1607583343.081701,50,0.2874210774898529
1607583343.667299,51,0.294964462518692
1607583344.256262,52,0.2890907824039459
1607583344.842246,53,0.28826704621315
1607583345.420833,54,0.28999194502830505
1607583345.999687,55,0.30338406562805176
1607583346.59575,56,0.30883514881134033
1607583347.205641,57,0.3131881356239319
1607583347.805664,58,0.301467627286911
1607583348.392078,59,0.30017948150634766
1607583348.973749,60,0.313861221075058
1607583349.562557,61,0.3084898889064789
1607583350.149922,62,0.30178913474082947
1607583350.729843,63,0.3228890001773834
1607583351.309681,64,0.3044540286064148
1607583351.88602,65,0.385065495967865
1607583352.476465,66,0.32486292719841003
1607583353.054055,67,0.34450045228004456
1607583353.628083,68,0.31529077887535095
1607583354.211447,69,0.34056517481803894
1607583354.811989,70,0.33112606406211853
1607583355.452471,71,0.3272680938243866
1607583356.11154,72,0.32524240016937256
1607583356.721958,73,0.33156731724739075
1607583357.317064,74,0.32916972041130066
1607583357.918021,75,0.3359011709690094
1607583358.529877,76,0.32922351360321045
1607583359.129243,77,0.3307446539402008
1607583359.732969,78,0.33881109952926636
1607583360.346513,79,0.3554956912994385
1607583360.924025,80,0.3424454927444458
1607583361.520222,81,0.35408931970596313
1607583362.132195,82,0.3447197675704956
1607583362.725472,83,0.3465662896633148
1607583363.348693,84,0.3487444221973419
1607583363.946707,85,0.3577747344970703
1607583364.542815,86,0.3548566401004791
1607583365.152441,87,0.3573260009288788
1607583365.740382,88,0.35882189869880676
1607583366.334329,89,0.374259889125824
1607583366.93102,90,0.3647884428501129
1607583367.515734,91,0.3687524199485779
1607583368.122868,92,0.39616283774375916
1607583368.760265,93,0.3727506399154663
