,vCNN-based model,CNN-based model,DREME,CisFinder,MEME-ChIP
0,0.8184029765311963,0.8233093466350478,0.7538433232480171,0.7879017090522529,0.7959358900973097
1,0.798351707160441,0.8053623033286953,0.7280495201398551,0.7690962931249777,0.7827071961183061
2,0.8441703143653004,0.8546955829685635,0.7662355750099483,0.8129924393155591,0.8246120175089534
3,0.8232268038489218,0.8246394967614681,0.7546978702987979,0.7976117493402991,0.810512567636005
4,0.8809503276992067,0.8809072093825457,0.8255432907899276,0.8563297688858227,0.8650827871679889
5,0.7110433283443532,0.7135441335278404,0.6137013811264991,0.6858837125589679,0.7221832787071595
6,0.7865353875454886,0.7907526442879979,0.712393293201374,0.7581029146685713,0.777080570009863
7,0.7862477730574209,0.7870186377963546,0.6928018363711114,0.7558071810333014,0.7821022337947101
8,0.7782208192575363,0.7880231119971941,0.696959627845157,0.7501061453545255,0.7648741946798102
9,0.8207923832923832,0.8255698880698881,0.7858312858312858,0.8107596232596233,0.8082855582855583
10,0.9223031564342699,0.9181408255289629,0.8508498092265002,0.9035726673603884,0.9049601109954908
11,0.7937137577263749,0.8030331995157076,0.7244312750908048,0.7830880010195629,0.7840279105333589
12,0.85029849454923,0.8525912787679529,0.779049143450424,0.8306367883716906,0.8365634192766914
13,0.7118050618512726,0.7082503910137922,0.600828238305133,0.666003128110337,0.7093701123275985
14,0.8055483870967742,0.8043010752688172,0.7138279569892473,0.772258064516129,0.8022150537634408
15,0.805095818815331,0.8042682926829269,0.7081228222996516,0.7625,0.8003702090592334
16,0.8091438373966835,0.8080521910900869,0.716665800280709,0.773457399802464,0.8016322711441493
17,0.8387127040720586,0.8427472321261025,0.774066428973541,0.8215894164008257,0.8244511165321824
18,0.8169637487671694,0.8191527747708739,0.7355367924755238,0.7893002333357388,0.8082316999831614
19,0.777640857123297,0.7758608886150475,0.6841240501129595,0.7409917619406221,0.7827753816663243
20,0.7256116325588552,0.7180143098938299,0.6262501923372826,0.688009693799046,0.7262078781350977
21,0.8806569561829407,0.8778397170772643,0.8211952286758977,0.8584786908829347,0.8677695858059102
22,0.8036443606660383,0.8119975605699395,0.7328269667904862,0.7898578847184491,0.7865129086507364
23,0.8213572097023042,0.8143511141462427,0.7235500923185877,0.7792953436021954,0.810582492348939
24,0.8409459574831384,0.8405190813625886,0.7659651669085631,0.8051950823870913,0.8204559036967473
25,0.8051750097589085,0.8146550922913917,0.7367697083480491,0.7843931817759354,0.7952302172983624
26,0.8413806603158032,0.8466875462177563,0.7750445865413894,0.8182609073904911,0.8231545521771282
27,0.8845920402323767,0.8883204716899332,0.8694181912772045,0.8663834214861701,0.8571924044047515
28,0.7716851635514018,0.7759808216510904,0.6818900895638629,0.7446456386292835,0.750644957165109
29,0.7975524716929026,0.8043185584092792,0.7670705606186137,0.7866784037558685,0.7839339961336648
30,0.8110577317894391,0.8153486080315349,0.7397347458323068,0.7890079658372341,0.7962552352796255
31,0.8192179653557524,0.8207696213959262,0.7345821813462732,0.7837273599277774,0.8116007447948993
