Wall time,Step,Value
1607583046.081937,0,1.505129337310791
1607583046.807294,1,1.5039178133010864
1607583047.520638,2,1.5032942295074463
1607583048.26551,3,1.5031002759933472
1607583048.98058,4,1.501492977142334
1607583049.698333,5,1.4980294704437256
1607583050.416823,6,1.4932835102081299
1607583051.158565,7,1.485980749130249
1607583051.897353,8,1.473266363143921
1607583052.629804,9,1.4496732950210571
1607583053.380514,10,1.4271330833435059
1607583054.110561,11,1.4081804752349854
1607583054.840987,12,1.3738141059875488
1607583055.570513,13,1.34761643409729
1607583056.308562,14,1.3268481492996216
1607583057.043604,15,1.310329794883728
1607583057.787102,16,1.2870848178863525
1607583058.528374,17,1.266676425933838
1607583059.304035,18,1.2430075407028198
1607583060.137213,19,1.227240800857544
1607583060.889113,20,1.2159316539764404
1607583061.619987,21,1.204769253730774
1607583062.33677,22,1.214658498764038
1607583063.065828,23,1.1872925758361816
1607583063.795433,24,1.1816707849502563
1607583064.502338,25,1.1871166229248047
1607583065.251468,26,1.1674904823303223
1607583065.991011,27,1.1647533178329468
1607583066.733999,28,1.1639087200164795
1607583067.478089,29,1.1583298444747925
1607583068.182874,30,1.1608459949493408
1607583068.87891,31,1.1782268285751343
1607583069.621347,32,1.1543740034103394
1607583070.323191,33,1.1714587211608887
1607583071.149585,34,1.1597846746444702
1607583071.874409,35,1.164637804031372
1607583072.601915,36,1.149436593055725
1607583073.283983,37,1.1502132415771484
1607583073.995657,38,1.16426682472229
1607583074.717027,39,1.1491600275039673
1607583075.417233,40,1.1557554006576538
1607583076.126023,41,1.1731159687042236
1607583076.824884,42,1.1498364210128784
1607583077.531048,43,1.1511151790618896
1607583078.223888,44,1.1503528356552124
1607583078.93415,45,1.150065302848816
1607583079.628047,46,1.1930546760559082
1607583080.323942,47,1.2020845413208008
1607583081.019778,48,1.1551568508148193
1607583081.725301,49,1.1547967195510864
1607583082.424088,50,1.1568716764450073
1607583083.115309,51,1.1714661121368408
1607583083.823501,52,1.2102551460266113
1607583084.513833,53,1.1997911930084229
1607583085.208488,54,1.1657263040542603
1607583085.911449,55,1.170271635055542
1607583086.60815,56,1.1985255479812622
1607583087.313722,57,1.1627737283706665
1607583088.055036,58,1.1684527397155762
1607583088.77571,59,1.1662043333053589
1607583089.496887,60,1.2093075513839722
1607583090.319522,61,1.2000718116760254
1607583091.034922,62,1.1696763038635254
1607583091.748353,63,1.2115167379379272
1607583092.459907,64,1.1722995042800903
1607583093.155729,65,1.2005116939544678
1607583093.855614,66,1.2072486877441406
1607583094.548013,67,1.1926939487457275
1607583095.25395,68,1.2471675872802734
1607583095.939357,69,1.179458498954773
1607583096.647099,70,1.2687158584594727
1607583097.350573,71,1.1852149963378906
1607583098.043458,72,1.2057892084121704
1607583098.782216,73,1.2289011478424072
1607583099.484296,74,1.2765324115753174
1607583100.282746,75,1.2015458345413208
1607583101.010578,76,1.1914680004119873
1607583101.728039,77,1.2066199779510498
1607583102.435766,78,1.2101970911026
1607583103.139295,79,1.195885419845581
1607583103.842543,80,1.1980252265930176
1607583104.536703,81,1.225731611251831
1607583105.249965,82,1.2527403831481934
1607583105.946371,83,1.2047418355941772
1607583106.646296,84,1.246715784072876
1607583107.340812,85,1.218945026397705
1607583108.044206,86,1.2398406267166138
1607583108.744215,87,1.2586500644683838
1607583109.438844,88,1.2199902534484863
1607583110.20934,89,1.2468763589859009
