,CNN-based model adadelta,CNN-based model adam,CNN-based model rmsprop,vConv-based model adadelta,vConv-based model adam,vConv-based model rmsprop
0,0.5993288814320159,0.5523950266114068,0.5518839098212203,0.6993188813209036,0.7040967121856909,0.7116412404582273
1,0.6069734108156757,0.5506727852531694,0.538972655251725,0.6891409904554495,0.6839187102078912,0.6951410571228569
2,0.5925065834064823,0.5152057245080501,0.5599506661185124,0.6550517227969199,0.7046744963832933,0.7133523705818954
3,0.5516950188335425,0.5656507294525495,0.5248613873487483,0.7162190691007678,0.6363959599551106,0.6932521472460806
4,0.6169179657551751,0.5399004433382594,0.6011400126668074,0.6735408171201902,0.68118534650385,0.6834742608251203
5,0.5382837587084301,0.4994833275925288,0.5692174357492861,0.698729985888732,0.6844409382326471,0.6629740330448115
6,0.6031844798275536,0.5318614651273903,0.5306947854976166,0.7021744686052067,0.6975188613206813,0.734052600584451
7,0.5229946999411105,0.5226280292003245,0.6169624106934521,0.6934410382337581,0.7194302158912877,0.7184968721874687
8,0.6271291903243369,0.626729185879843,0.571984133157035,0.7048189424326938,0.7225858065089612,0.729008100090001
9,0.4990611006788964,0.5428504761164014,0.6014400160001778,0.7234635940399338,0.6840520450227225,0.7071745241613796
10,0.5328281425349171,0.5168724096934411,0.5328281425349171,0.7324081378681986,0.6720519116879076,0.6405515616840187
11,0.5126056956188402,0.5566284069822998,0.5558061756241737,0.7110412337914865,0.7178857542861588,0.678496427738086
12,0.4862165135168169,0.5916954632829254,0.5901954466160735,0.6789742108245648,0.725341392682141,0.721796908854543
13,0.6112845698285536,0.5889176546406071,0.5746397182190913,0.7122412471249681,0.7006077845309392,0.6074289714330159
14,0.552439471549684,0.5717507972310804,0.47340526005844513,0.7203857820642452,0.6615295725508062,0.6698629984777609
15,0.5344114934610384,0.5139834887054301,0.5721174679718665,0.6530294781053123,0.718430204780053,0.6954299492216581
16,0.6701407793419927,0.636695963288481,0.5213946821631351,0.7256191735463728,0.5272280803120035,0.6313625706952299
17,0.6877076411960134,0.5821509127879199,0.5778841987133191,0.6978299758886211,0.6904410049000544,0.6960744008266759
18,0.5022055800620007,0.6025400282225358,0.6173957488416538,0.7494861054011712,0.6913521261347347,0.6961521794686607
19,0.6091067678529761,0.46888298758875097,0.6485960955121723,0.7188968766319626,0.7038189313214591,0.7320525783619818
20,0.6578184202046689,0.5766841853798376,0.6299625551395016,0.7137301525572507,0.7225746952743919,0.631851465016278
21,0.6204846720519117,0.6242847142746031,0.5700841120456894,0.639829331437016,0.7183524261380683,0.7107745641618242
22,0.6241291569906333,0.5659618440204892,0.6428071423015811,0.7298525539172658,0.7079078656429516,0.6839187102078913
23,0.6636184846498294,0.6160735119279103,0.5998288869876331,0.704707830087001,0.6671185235391505,0.6651073900821121
24,0.6532850365004055,0.6609962332914809,0.627051411682352,0.728441427126968,0.7299525550283892,0.6826853631707019
25,0.6394404382270913,0.6594851053900599,0.63824042489361,0.7043744930499228,0.7033189257658418,0.6898409982333137
26,0.6727519194657718,0.6562072911921244,0.5140723785819842,0.6254402826698073,0.663029589217658,0.7364859609551219
27,0.6807964532939255,0.6569406326736964,0.6729408104534496,0.7053189479883109,0.7093412149023878,0.6262291803242258
28,0.6026844742719364,0.4998833320370227,0.6210846787186524,0.6963521816909076,0.668074089712108,0.7227858087312081
29,0.6324736941521572,0.5898398871098568,0.6587295414393493,0.7623640262669585,0.7219302436693741,0.7411637907087856
30,0.6306070067445194,0.6576517516861299,0.651140568228536,0.7150190557672863,0.720052445027167,0.70426338070423
31,0.6811186790964344,0.6200846676074179,0.6365181835353726,0.7075634173713041,0.7301303347814977,0.7172857476194181
32,0.6601517794642163,0.6621406904521161,0.6301625573617484,0.731485905398949,0.7263969599662219,0.6841742686029844
33,0.6700963344037156,0.6482738697096636,0.5777175301947799,0.7062522916921299,0.7192079911999023,0.6946632740363783
34,0.6584073156368404,0.6404960055111723,0.6672296358848432,0.7208635651507238,0.6762964032933699,0.7524750275003056
35,0.6975744174935278,0.6450738341537128,0.5368059645107168,0.719319103545595,0.7070745230502561,0.6757297303303371
36,0.6828298092201025,0.6385182057578418,0.5752397248858321,0.7309525661396238,0.7226746963855154,0.7296747741641574
37,0.6502738919321326,0.6729296992188802,0.6247069411882354,0.7231524794719941,0.7172857476194181,0.6221735797064412
38,0.6278847542750475,0.6593962155135057,0.6406626740297114,0.7247636084845388,0.738408204535606,0.7178524205824509
39,0.6905076723074701,0.6733074811942354,0.6501405571173013,0.7248747208302314,0.7290969899665551,0.6474183046478293
40,0.6723741374904166,0.6547628306981189,0.6706852298358871,0.7759752886143181,0.7200746674963054,0.672963032922588
41,0.683707596751075,0.6676629740330449,0.6401960021778019,0.7106745630507005,0.7430415893509928,0.6635407060078446
42,0.6432738141534906,0.6380070889676552,0.6475960844009379,0.7160857342859366,0.7262969588550984,0.6457071745241614
43,0.6857520639118213,0.6823964710719008,0.636940410449005,0.6846409404548939,0.7227746974966389,0.7111523461371793
44,0.687163190702119,0.6186957632862587,0.6517961310681228,0.6895187724308047,0.6624518050200559,0.7124190268780763
45,0.6510961232902588,0.5979621995799953,0.6928076978633096,0.7205857842864922,0.7088745430504784,0.7080189779886443
46,0.6918854653940598,0.6533517039078212,0.6383848709430104,0.7082745363837376,0.6675296392182135,0.6321403571150791
47,0.6267625195835509,0.6184846498294425,0.6751408348981655,0.722163579595329,0.6586962077356415,0.7180413115701285
